Įstaigos_kodas;Gydytojo_ID;Laisvos_registracijos_data;Įrašo_sukūrimo_data
302692454;10000224;2019-03-14 12:55;2019-03-13 10:50:49
302692454;10000224;2019-03-15 14:05;2019-03-13 10:50:49
302692454;10000224;2019-03-15 14:40;2019-03-13 10:50:49
302692454;10000224;2019-03-15 14:55;2019-03-13 10:50:49
302692454;10000224;2019-03-18 08:35;2019-03-13 10:50:49
302692454;10000224;2019-03-18 09:10;2019-03-13 10:50:49
302692454;10000224;2019-03-19 14:05;2019-03-13 10:50:49
302692454;10000224;2019-03-19 14:40;2019-03-13 10:50:49
302692454;10000224;2019-03-19 14:55;2019-03-13 10:50:49
302692454;10000224;2019-03-20 08:35;2019-03-13 10:50:49
302692454;10000224;2019-03-20 08:50;2019-03-13 10:50:49
302692454;10000224;2019-03-20 09:00;2019-03-13 10:50:49
302692454;10000224;2019-03-20 09:10;2019-03-13 10:50:49
302692454;10000224;2019-03-20 12:55;2019-03-13 10:50:49
302692454;10000224;2019-03-21 14:05;2019-03-13 10:50:49
302692454;10000224;2019-03-21 14:20;2019-03-13 10:50:49
302692454;10000224;2019-03-21 14:30;2019-03-13 10:50:49
302692454;10000224;2019-03-21 14:40;2019-03-13 10:50:49
302692454;10000224;2019-03-21 14:55;2019-03-13 10:50:49
302692454;10000224;2019-03-21 18:40;2019-03-13 10:50:49
302692454;10000224;2019-03-22 08:35;2019-03-13 10:50:49
302692454;10000224;2019-03-22 08:50;2019-03-13 10:50:49
302692454;10000224;2019-03-22 09:10;2019-03-13 10:50:49
302692454;10000224;2019-03-22 12:55;2019-03-13 10:50:49
302692454;10000224;2019-03-22 13:10;2019-03-13 10:50:49
302692454;10000224;2019-03-25 14:05;2019-03-13 10:50:49
302692454;10000224;2019-03-25 14:20;2019-03-13 10:50:49
302692454;10000224;2019-03-25 14:30;2019-03-13 10:50:49
302692454;10000224;2019-03-25 14:40;2019-03-13 10:50:49
302692454;10000224;2019-03-25 14:55;2019-03-13 10:50:49
302692454;10000224;2019-03-25 18:40;2019-03-13 10:50:49
302692454;10000224;2019-03-26 08:35;2019-03-13 10:50:49
302692454;10000224;2019-03-26 09:00;2019-03-13 10:50:49
302692454;10000224;2019-03-26 09:10;2019-03-13 10:50:49
302692454;10000224;2019-03-27 14:55;2019-03-13 10:50:49
302692454;10000224;2019-03-27 17:10;2019-03-13 10:50:49
302692454;10000224;2019-03-27 17:55;2019-03-13 10:50:49
302692454;10000224;2019-03-27 18:25;2019-03-13 10:50:49
302692454;10000224;2019-03-27 18:50;2019-03-13 10:50:49
302692454;10000224;2019-03-28 07:20;2019-03-13 10:50:49
302692454;10000224;2019-03-28 07:35;2019-03-13 10:50:49
302692454;10000224;2019-03-28 07:50;2019-03-13 10:50:49
302692454;10000224;2019-03-28 08:05;2019-03-13 10:50:49
302692454;10000224;2019-03-28 08:35;2019-03-13 10:50:49
302692454;10000224;2019-03-28 08:50;2019-03-13 10:50:49
302692454;10000224;2019-03-28 09:00;2019-03-13 10:50:49
302692454;10000224;2019-03-28 09:10;2019-03-13 10:50:49
302692454;10000224;2019-03-28 10:55;2019-03-13 10:50:49
302692454;10000224;2019-03-28 11:10;2019-03-13 10:50:49
302692454;10000224;2019-03-28 11:25;2019-03-13 10:50:49
302692454;10000224;2019-03-28 12:25;2019-03-13 10:50:49
302692454;10000224;2019-03-28 12:40;2019-03-13 10:50:49
302692454;10000224;2019-03-29 14:05;2019-03-13 10:50:49
302692454;10000224;2019-03-29 14:20;2019-03-13 10:50:49
302692454;10000224;2019-03-29 14:30;2019-03-13 10:50:49
302692454;10000224;2019-03-29 14:40;2019-03-13 10:50:49
302692454;10000224;2019-03-29 14:55;2019-03-13 10:50:49
302692454;10000224;2019-03-29 16:40;2019-03-13 10:50:49
302692454;10000224;2019-03-29 16:55;2019-03-13 10:50:49
302692454;10000224;2019-03-29 17:25;2019-03-13 10:50:49
302692454;10000224;2019-03-29 17:40;2019-03-13 10:50:49
302692454;10000224;2019-03-29 17:55;2019-03-13 10:50:49
302692454;10000224;2019-03-29 18:10;2019-03-13 10:50:49
302692454;10000224;2019-03-29 18:25;2019-03-13 10:50:49
302692454;10000224;2019-03-29 18:40;2019-03-13 10:50:49
302692454;10000225;2019-03-14 08:35;2019-03-13 10:50:49
302692454;10000225;2019-03-14 09:00;2019-03-13 10:50:49
302692454;10000225;2019-03-14 09:10;2019-03-13 10:50:49
302692454;10000225;2019-03-14 12:55;2019-03-13 10:50:49
302692454;10000225;2019-03-14 13:10;2019-03-13 10:50:49
302692454;10000225;2019-03-14 13:30;2019-03-13 10:50:49
302692454;10000225;2019-03-14 13:45;2019-03-13 10:50:49
302692454;10000225;2019-03-14 14:00;2019-03-13 10:50:49
302692454;10000225;2019-03-14 14:15;2019-03-13 10:50:49
302692454;10000225;2019-03-15 11:35;2019-03-13 10:50:49
302692454;10000225;2019-03-15 11:50;2019-03-13 10:50:49
302692454;10000225;2019-03-15 12:05;2019-03-13 10:50:49
302692454;10000225;2019-03-15 12:20;2019-03-13 10:50:49
302692454;10000225;2019-03-15 14:05;2019-03-13 10:50:49
302692454;10000225;2019-03-15 14:40;2019-03-13 10:50:49
302692454;10000225;2019-03-15 14:55;2019-03-13 10:50:49
302692454;10000225;2019-03-18 08:35;2019-03-13 10:50:49
302692454;10000225;2019-03-18 08:50;2019-03-13 10:50:49
302692454;10000225;2019-03-18 09:00;2019-03-13 10:50:49
302692454;10000225;2019-03-18 09:10;2019-03-13 10:50:49
302692454;10000225;2019-03-18 12:55;2019-03-13 10:50:49
302692454;10000225;2019-03-18 13:10;2019-03-13 10:50:49
302692454;10000225;2019-03-18 13:20;2019-03-13 10:50:49
302692454;10000225;2019-03-18 13:30;2019-03-13 10:50:49
302692454;10000225;2019-03-18 13:45;2019-03-13 10:50:49
302692454;10000225;2019-03-18 14:00;2019-03-13 10:50:49
302692454;10000225;2019-03-18 14:15;2019-03-13 10:50:49
302692454;10000225;2019-03-18 14:30;2019-03-13 10:50:49
302692454;10000225;2019-03-18 14:45;2019-03-13 10:50:49
302692454;10000225;2019-03-18 15:00;2019-03-13 10:50:49
302692454;10000225;2019-03-19 10:50;2019-03-13 10:50:49
302692454;10000225;2019-03-19 11:05;2019-03-13 10:50:49
302692454;10000225;2019-03-19 11:20;2019-03-13 10:50:49
302692454;10000225;2019-03-19 11:35;2019-03-13 10:50:49
302692454;10000225;2019-03-19 11:50;2019-03-13 10:50:49
302692454;10000225;2019-03-19 12:05;2019-03-13 10:50:49
302692454;10000225;2019-03-19 12:20;2019-03-13 10:50:49
302692454;10000225;2019-03-19 14:05;2019-03-13 10:50:49
302692454;10000225;2019-03-19 14:20;2019-03-13 10:50:49
302692454;10000225;2019-03-19 14:30;2019-03-13 10:50:49
302692454;10000225;2019-03-19 14:40;2019-03-13 10:50:49
302692454;10000225;2019-03-19 14:55;2019-03-13 10:50:49
302692454;10000225;2019-03-19 15:55;2019-03-13 10:50:49
302692454;10000225;2019-03-19 16:10;2019-03-13 10:50:49
302692454;10000225;2019-03-19 16:25;2019-03-13 10:50:49
302692454;10000225;2019-03-19 17:25;2019-03-13 10:50:49
302692454;10000225;2019-03-19 17:55;2019-03-13 10:50:49
302692454;10000225;2019-03-19 18:10;2019-03-13 10:50:49
302692454;10000225;2019-03-19 18:25;2019-03-13 10:50:49
302692454;10000225;2019-03-19 18:40;2019-03-13 10:50:49
302692454;10000225;2019-03-19 18:50;2019-03-13 10:50:49
302692454;10000225;2019-03-20 07:05;2019-03-13 10:50:49
302692454;10000225;2019-03-20 07:20;2019-03-13 10:50:49
302692454;10000225;2019-03-20 07:35;2019-03-13 10:50:49
302692454;10000225;2019-03-20 07:50;2019-03-13 10:50:49
302692454;10000225;2019-03-20 08:35;2019-03-13 10:50:49
302692454;10000225;2019-03-20 08:50;2019-03-13 10:50:49
302692454;10000225;2019-03-20 09:00;2019-03-13 10:50:49
302692454;10000225;2019-03-20 09:10;2019-03-13 10:50:49
302692454;10000225;2019-03-20 10:40;2019-03-13 10:50:49
302692454;10000225;2019-03-20 10:55;2019-03-13 10:50:49
302692454;10000225;2019-03-20 11:10;2019-03-13 10:50:49
302692454;10000225;2019-03-20 11:40;2019-03-13 10:50:49
302692454;10000225;2019-03-20 11:55;2019-03-13 10:50:49
302692454;10000225;2019-03-20 12:25;2019-03-13 10:50:49
302692454;10000225;2019-03-20 12:40;2019-03-13 10:50:49
302692454;10000225;2019-03-20 12:55;2019-03-13 10:50:49
302692454;10000225;2019-03-20 13:10;2019-03-13 10:50:49
302692454;10000225;2019-03-20 13:30;2019-03-13 10:50:49
302692454;10000225;2019-03-20 13:45;2019-03-13 10:50:49
302692454;10000225;2019-03-20 14:00;2019-03-13 10:50:49
302692454;10000225;2019-03-20 14:15;2019-03-13 10:50:49
302692454;10000225;2019-03-20 14:30;2019-03-13 10:50:49
302692454;10000225;2019-03-20 14:45;2019-03-13 10:50:49
302692454;10000225;2019-03-20 15:00;2019-03-13 10:50:49
302692454;10000225;2019-03-21 10:50;2019-03-13 10:50:49
302692454;10000225;2019-03-21 11:05;2019-03-13 10:50:49
302692454;10000225;2019-03-21 11:20;2019-03-13 10:50:49
302692454;10000225;2019-03-21 11:35;2019-03-13 10:50:49
302692454;10000225;2019-03-21 11:50;2019-03-13 10:50:49
302692454;10000225;2019-03-21 12:05;2019-03-13 10:50:49
302692454;10000225;2019-03-21 12:20;2019-03-13 10:50:49
302692454;10000225;2019-03-21 12:35;2019-03-13 10:50:49
302692454;10000225;2019-03-21 12:50;2019-03-13 10:50:49
302692454;10000225;2019-03-21 13:20;2019-03-13 10:50:49
302692454;10000225;2019-03-21 13:35;2019-03-13 10:50:49
302692454;10000225;2019-03-21 14:05;2019-03-13 10:50:49
302692454;10000225;2019-03-21 14:20;2019-03-13 10:50:49
302692454;10000225;2019-03-21 14:30;2019-03-13 10:50:49
302692454;10000225;2019-03-21 14:40;2019-03-13 10:50:49
302692454;10000225;2019-03-21 14:55;2019-03-13 10:50:49
302692454;10000225;2019-03-21 15:10;2019-03-13 10:50:49
302692454;10000225;2019-03-21 15:55;2019-03-13 10:50:49
302692454;10000225;2019-03-21 16:10;2019-03-13 10:50:49
302692454;10000225;2019-03-21 16:40;2019-03-13 10:50:49
302692454;10000225;2019-03-21 16:55;2019-03-13 10:50:49
302692454;10000225;2019-03-21 17:10;2019-03-13 10:50:49
302692454;10000225;2019-03-21 17:40;2019-03-13 10:50:49
302692454;10000225;2019-03-21 17:55;2019-03-13 10:50:49
302692454;10000225;2019-03-21 18:10;2019-03-13 10:50:49
302692454;10000225;2019-03-21 18:25;2019-03-13 10:50:49
302692454;10000225;2019-03-21 18:40;2019-03-13 10:50:49
302692454;10000225;2019-03-21 18:50;2019-03-13 10:50:49
302692454;10000225;2019-03-22 07:05;2019-03-13 10:50:49
302692454;10000225;2019-03-22 07:20;2019-03-13 10:50:49
302692454;10000225;2019-03-22 07:50;2019-03-13 10:50:49
302692454;10000225;2019-03-22 08:20;2019-03-13 10:50:49
302692454;10000225;2019-03-22 08:35;2019-03-13 10:50:49
302692454;10000225;2019-03-22 09:10;2019-03-13 10:50:49
302692454;10000225;2019-03-22 09:25;2019-03-13 10:50:49
302692454;10000225;2019-03-22 09:40;2019-03-13 10:50:49
302692454;10000225;2019-03-22 10:25;2019-03-13 10:50:49
302692454;10000225;2019-03-22 10:40;2019-03-13 10:50:49
302692454;10000225;2019-03-22 10:55;2019-03-13 10:50:49
302692454;10000225;2019-03-22 11:10;2019-03-13 10:50:49
302692454;10000225;2019-03-22 11:25;2019-03-13 10:50:49
302692454;10000225;2019-03-22 11:55;2019-03-13 10:50:49
302692454;10000225;2019-03-22 12:10;2019-03-13 10:50:49
302692454;10000225;2019-03-22 12:25;2019-03-13 10:50:49
302692454;10000225;2019-03-22 12:40;2019-03-13 10:50:49
302692454;10000225;2019-03-22 12:55;2019-03-13 10:50:49
302692454;10000225;2019-03-22 13:30;2019-03-13 10:50:49
302692454;10000225;2019-03-22 13:45;2019-03-13 10:50:49
302692454;10000225;2019-03-22 14:00;2019-03-13 10:50:49
302692454;10000225;2019-03-22 14:15;2019-03-13 10:50:49
302692454;10000225;2019-03-22 14:30;2019-03-13 10:50:49
302692454;10000225;2019-03-22 14:45;2019-03-13 10:50:49
302692454;10000225;2019-03-22 15:00;2019-03-13 10:50:49
302692454;10000225;2019-03-25 10:50;2019-03-13 10:50:49
302692454;10000225;2019-03-25 11:05;2019-03-13 10:50:49
302692454;10000225;2019-03-25 11:20;2019-03-13 10:50:49
302692454;10000225;2019-03-25 11:35;2019-03-13 10:50:49
302692454;10000225;2019-03-25 11:50;2019-03-13 10:50:49
302692454;10000225;2019-03-25 12:05;2019-03-13 10:50:49
302692454;10000225;2019-03-25 12:20;2019-03-13 10:50:49
302692454;10000225;2019-03-25 12:35;2019-03-13 10:50:49
302692454;10000225;2019-03-25 12:50;2019-03-13 10:50:49
302692454;10000225;2019-03-25 13:05;2019-03-13 10:50:49
