istaigos_kodas;gydytojo_ID;laisvos_registracijos;iraso_sukurimo_data
302692454;10000018;2019-04-23 09:15;2019-03-25 04:00:08
302692454;10000018;2019-04-23 09:25;2019-03-25 04:00:08
302692454;10000018;2019-04-23 09:35;2019-03-25 04:00:08
302692454;10000018;2019-04-23 09:50;2019-03-25 04:00:08
302692454;10000018;2019-04-23 10:05;2019-03-25 04:00:08
302692454;10000018;2019-04-23 10:35;2019-03-25 04:00:08
302692454;10000018;2019-04-23 11:05;2019-03-25 04:00:08
302692454;10000018;2019-04-23 11:20;2019-03-25 04:00:08
302692454;10000018;2019-04-23 11:35;2019-03-25 04:00:08
302692454;10000018;2019-04-23 11:50;2019-03-25 04:00:08
302692454;10000018;2019-04-24 10:15;2019-03-25 04:00:08
302692454;10000018;2019-04-24 10:30;2019-03-25 04:00:08
302692454;10000018;2019-04-24 10:45;2019-03-25 04:00:08
302692454;10000018;2019-04-24 11:05;2019-03-25 04:00:08
302692454;10000018;2019-04-24 11:35;2019-03-25 04:00:08
302692454;10000018;2019-04-24 11:50;2019-03-25 04:00:08
302692454;10000018;2019-04-24 12:05;2019-03-25 04:00:08
302692454;10000041;2019-03-26 08:35;2019-03-25 04:00:08
302692454;10000041;2019-03-26 09:10;2019-03-25 04:00:08
302692454;10000041;2019-03-26 12:55;2019-03-25 04:00:08
302692454;10000041;2019-03-27 14:55;2019-03-25 04:00:08
302692454;10000041;2019-03-28 08:35;2019-03-25 04:00:08
302692454;10000041;2019-03-28 09:10;2019-03-25 04:00:08
302692454;10000041;2019-03-28 12:55;2019-03-25 04:00:08
302692454;10000041;2019-03-29 14:05;2019-03-25 04:00:08
302692454;10000041;2019-03-29 14:40;2019-03-25 04:00:08
302692454;10000041;2019-03-29 14:55;2019-03-25 04:00:08
302692454;10000041;2019-04-03 14:55;2019-03-25 04:00:08
302692454;10000041;2019-04-04 08:35;2019-03-25 04:00:08
302692454;10000041;2019-04-04 09:10;2019-03-25 04:00:08
302692454;10000041;2019-04-04 12:55;2019-03-25 04:00:08
302692454;10000041;2019-04-05 14:05;2019-03-25 04:00:08
302692454;10000041;2019-04-05 14:40;2019-03-25 04:00:08
302692454;10000041;2019-04-05 14:55;2019-03-25 04:00:08
302692454;10000041;2019-04-08 08:35;2019-03-25 04:00:08
302692454;10000041;2019-04-08 09:10;2019-03-25 04:00:08
302692454;10000041;2019-04-08 12:55;2019-03-25 04:00:08
302692454;10000041;2019-04-09 14:05;2019-03-25 04:00:08
302692454;10000041;2019-04-09 14:30;2019-03-25 04:00:08
302692454;10000041;2019-04-09 14:40;2019-03-25 04:00:08
302692454;10000041;2019-04-09 14:55;2019-03-25 04:00:08
302692454;10000041;2019-04-10 07:05;2019-03-25 04:00:08
302692454;10000041;2019-04-10 07:20;2019-03-25 04:00:08
302692454;10000041;2019-04-10 08:05;2019-03-25 04:00:08
302692454;10000041;2019-04-10 08:35;2019-03-25 04:00:08
302692454;10000041;2019-04-10 09:00;2019-03-25 04:00:08
302692454;10000041;2019-04-10 09:10;2019-03-25 04:00:08
302692454;10000041;2019-04-10 12:40;2019-03-25 04:00:08
302692454;10000041;2019-04-10 12:55;2019-03-25 04:00:08
302692454;10000041;2019-04-10 13:10;2019-03-25 04:00:08
302692454;10000041;2019-04-10 13:20;2019-03-25 04:00:08
302692454;10000041;2019-04-11 12:50;2019-03-25 04:00:08
302692454;10000041;2019-04-11 13:05;2019-03-25 04:00:08
302692454;10000041;2019-04-11 13:20;2019-03-25 04:00:08
302692454;10000041;2019-04-11 14:05;2019-03-25 04:00:08
302692454;10000041;2019-04-11 14:20;2019-03-25 04:00:08
302692454;10000041;2019-04-11 14:30;2019-03-25 04:00:08
302692454;10000041;2019-04-11 14:40;2019-03-25 04:00:08
302692454;10000041;2019-04-11 14:55;2019-03-25 04:00:08
302692454;10000041;2019-04-11 15:25;2019-03-25 04:00:08
302692454;10000041;2019-04-11 15:55;2019-03-25 04:00:08
302692454;10000041;2019-04-11 16:25;2019-03-25 04:00:08
302692454;10000041;2019-04-11 18:40;2019-03-25 04:00:08
302692454;10000041;2019-04-11 18:50;2019-03-25 04:00:08
302692454;10000041;2019-04-12 07:20;2019-03-25 04:00:08
302692454;10000041;2019-04-12 07:35;2019-03-25 04:00:08
302692454;10000041;2019-04-12 07:50;2019-03-25 04:00:08
302692454;10000041;2019-04-12 08:05;2019-03-25 04:00:08
302692454;10000041;2019-04-12 08:20;2019-03-25 04:00:08
302692454;10000041;2019-04-12 08:35;2019-03-25 04:00:08
302692454;10000041;2019-04-12 08:50;2019-03-25 04:00:08
302692454;10000041;2019-04-12 09:00;2019-03-25 04:00:08
302692454;10000041;2019-04-12 09:10;2019-03-25 04:00:08
302692454;10000041;2019-04-12 09:25;2019-03-25 04:00:08
